index,two-k,fifteen-Hun,weight,age,reps
183,11,10.81,80.4,21,10
184,10,9.5,86.8,21,8
185,10.8,11.08,82.8,22,12
186,12.5,13.54,96.6,23,11
187,12.9,13.42,93,27,10
188,11.4,11.82,91.2,20,14
189,10.5,11.96,79.9,22,12
190,11.7,12.85,82.9,22,14
191,12.3,13.54,88.1,27,14
192,10.2,11.14,75.8,23,12
193,11.8,11.43,88.2,25,10
194,10.3,10.43,78.9,25,8
195,10.9,11.8,76.3,23,10
196,10.1,11.11,73.6,19,8
197,9.8,10.93,76.2,24,8
198,13,13.35,83.5,21,8
199,10.8,12.28,78.4,24,8
200,10.8,11.92,82.8,22,8
201,12.9,14.13,93,27,10
202,10.5,11.87,79.9,22,8
203,12.1,12.35,89.6,21,8
204,10.3,10.35,78.9,25,8
205,11.8,12.06,88.2,25,10
206,11.3,11.43,77.8,25,10
207,11,11.02,80.4,21,8
208,11,10.81,78.8,22,8
209,10.9,12.52,79.2,24,10
210,10,10.52,86.8,21,8
211,12.2,11.59,74,21,8
212,10,9.68,79,21,8
213,12.5,13.58,92.1,25,8
214,11.9,12.63,89.2,23,8
215,11.9,12.58,94.1,21,8
216,12.3,12.33,88.1,25,8
217,11.7,12.83,96.1,23,8
218,9.9,11.64,73.4,21,8
219,11.2,13,88,22,8
220,10.9,10.81,79.2,22,8
221,9.9,10.11,78.6,23,8
222,10.4,10,78.2,23,8
223,9.6,9.46,76.4,24,8
224,9.9,9.42,71.7,26,8
225,10.3,11.79,74.4,23,6
226,10.4,12.48,80.2,20,6
227,10.7,11.5,72.4,22,6
228,10,11.22,77.3,23,6
229,9.7,10.91,80.6,20,6
230,13,13.77,96.6,24,4
231,9.2,10.29,68.5,23,4
232,8.9,7,82.4,22,4
233,10,11.22,77.3,23,6
234,10.8,10.67,80.1,23,8
235,12.5,12.84,92.1,25,10
236,11.9,13.65,89.2,23,10
237,11.7,12.87,96.1,23,10
238,9.9,12.08,73.4,21,10
239,11.2,12.45,88,22,10
240,10.4,11.32,78.2,23,10
241,9.6,10.21,76.4,24,10
242,10.5,12.21,80,20,8
243,12,12.16,90.6,23,8
244,10.3,11.74,74.4,23,8
245,10.7,10.91,72.4,22,8
246,9.7,10.13,74,23,8
247,9.7,10.87,80.6,20,8
248,8.5,10.96,72.1,22,8
249,11.7,13.65,88.2,21,6
250,10.4,12.67,80.2,20,6
251,11.9,11.26,94.1,21,6
252,9.9,10.58,78.6,23,6
253,9.2,10.17,68.5,23,6
254,8.9,8.17,82.4,22,6
255,9.9,11.05,71.7,26,5
256,10.4,12.18,82.3,24,4
257,12.5,13.78,92.1,25,12
258,11.9,12.96,89.2,23,12
259,9.9,11.2,73.4,21,12
260,11.2,13.3,88,22,12
261,12.3,13.19,88.1,25,11
262,11.7,12.67,96.1,23,12
263,10.4,10.54,78.2,23,12
264,9.7,11.29,74,23,10
265,10.8,10.85,80.1,23,12
266,9.9,10.63,71.7,26,12
267,8.5,11.09,72.1,22,10
268,10.4,12.67,80.2,20,8
269,10.5,11.52,80,20,6
270,8.9,7.48,82.4,22,6
271,10.3,12,74.4,23,4
272,10.2,10.84,75.8,21,4
273,10,10.78,77.3,23,10
274,12.5,14.36,92.1,25,10
275,11.7,13.4,88.2,21,10
276,11.9,13.29,89.2,23,10
277,11.2,14.87,88,22,10
278,11.7,12.96,96.1,23,10
279,12.3,13.26,88.1,25,10
280,9.9,12.25,73.4,21,10
281,11.9,12.26,94.1,21,10
282,10.4,11.75,78.2,23,10
283,9.9,10.54,71.7,26,10
284,9.6,10.7,76.4,24,10
285,9.9,10.62,78.6,23,8
286,10.4,11.78,82.3,24,4
287,12,11.72,90.6,23,8
288,10.5,12.26,80,20,8
289,9.7,11.16,74,23,8
290,10.3,11.74,74.4,23,8
291,8.5,11.09,72.1,22,4
292,10.4,13.08,80.2,20,6
293,10.5,13.09,80,20,10
294,9.7,10.79,74,23,10
295,10,11.38,77.3,23,10
296,9.7,11,80.6,20,10
297,10.4,12.71,80.2,20,8
298,10.2,10.38,75.8,21,8
299,12.5,13.72,92.1,25,12
300,11.7,13.92,88.2,21,12
301,11.9,13.25,89.2,23,12
302,11.2,14.22,88,22,12
303,11.9,12.54,94.1,21,12
304,12.3,13.7,88.1,25,12
305,10.8,10.64,80.1,23,12
306,10.9,10.96,79.2,22,12
307,10.4,11.68,78.2,23,12
308,9.9,10.5,78.6,23,12
309,9.6,10.63,76.4,24,12
310,10.4,12.48,82.3,24,5
311,11.7,12.33,96.1,23,12
312,10.5,13.13,80,20,10
313,12,11.8,90.6,23,10
314,10,12.04,77.3,23,10
315,9.7,11.5,80.6,20,10
316,9.7,11.77,74,23,7
317,8.5,11.52,72.1,22,5
318,10.3,11.79,74.4,23,4
319,12.5,14.54,92.1,25,12
320,11.7,14.7,88.2,21,12
321,11.2,13.17,88,22,12
322,12.3,13.83,88.1,25,12
323,10.9,11.69,79.2,22,12
324,9.9,12.68,73.4,21,12
325,10.4,11.8,78.2,23,12
326,9.9,10.42,71.7,26,12
327,9.6,11.48,76.4,24,12
328,9.9,11.22,78.6,23,11
329,10.4,13.05,82.3,24,5
330,10.8,10.64,80.1,23,4
331,10.4,12.96,80.2,20,8
332,10.2,10.81,75.8,21,8
333,8.9,9.4,82.4,22,8
334,12.1,12.59,95.2,22,6
335,10.4,13.16,80.2,20,8
336,10.2,11.64,75.8,21,8
337,12.5,13.96,92.1,25,12
338,12.3,13.79,88.1,25,12
339,11.2,12.57,88,22,12
340,9.9,11.84,73.4,21,12
341,9.9,11.19,78.6,23,12
342,10.4,12.33,78.2,23,12
343,10.9,11.96,79.2,22,12
344,10.8,10.64,80.1,23,12
345,9.6,11.09,76.4,24,12
346,11.7,14.38,88.2,21,8
347,10.4,12.61,82.3,24,6
348,11.9,14.5,89.2,23,5
349,11.9,13.74,94.1,21,3
350,12,12.75,90.6,23,10
351,9.7,11.96,80.6,20,10
352,8.5,11.38,72.1,22,10
353,10.7,11.87,72.4,22,6
354,11.7,13.21,96.1,23,12
355,9.7,12.38,80.6,20,10
356,9.7,11.24,74,23,10
357,10.7,12,72.4,22,10
358,10,11.65,77.3,23,10
359,10.4,13.75,80.2,20,8
