index,two-k,weight,age,fifteen-Hun
207,10.4,80.2,20,12.67
208,11.9,94.1,21,11.26
209,9.9,78.6,23,10.58
210,9.2,68.5,23,10.17
211,8.9,82.4,22,8.17
212,9.9,71.7,26,11.05
213,10.4,82.3,24,12.18
214,12.5,92.1,25,13.78
215,11.9,89.2,23,12.96
216,9.9,73.4,21,11.2
217,11.2,88,22,13.3
218,11.7,96.1,23,12.67
219,10.4,78.2,23,10.54
220,10.8,80.1,23,10.85
221,9.9,71.7,26,10.63
222,8.5,72.1,22,11.09
223,10.4,80.2,20,12.67
224,10.5,80,20,11.52
225,8.9,82.4,22,7.48
226,10.3,74.4,23,12
227,10,77.3,23,10.78
228,12.5,92.1,25,14.36
229,11.7,88.2,21,13.4
230,11.9,89.2,23,13.29
231,11.2,88,22,14.87
232,11.7,96.1,23,12.96
233,9.9,73.4,21,12.25
234,11.9,94.1,21,12.26
235,10.4,78.2,23,11.75
236,9.9,71.7,26,10.54
237,9.6,76.4,24,10.7
238,9.9,78.6,23,10.62
239,10.4,82.3,24,11.78
240,10.5,80,20,12.26
241,10.3,74.4,23,11.74
242,8.5,72.1,22,11.09
243,10.4,80.2,20,13.08
244,10.5,80,20,13.09
245,10,77.3,23,11.38
246,9.7,80.6,20,11
247,10.4,80.2,20,12.71
248,12.5,92.1,25,13.72
249,11.7,88.2,21,13.92
250,11.9,89.2,23,13.25
251,11.2,88,22,14.22
252,11.9,94.1,21,12.54
253,10.8,80.1,23,10.64
254,10.4,78.2,23,11.68
255,9.9,78.6,23,10.5
256,9.6,76.4,24,10.63
257,10.4,82.3,24,12.48
258,11.7,96.1,23,12.33
259,10.5,80,20,13.13
260,10,77.3,23,12.04
261,9.7,80.6,20,11.5
262,8.5,72.1,22,11.52
263,10.3,74.4,23,11.79
264,12.5,92.1,25,14.54
265,11.7,88.2,21,14.7
266,11.2,88,22,13.17
267,9.9,73.4,21,12.68
268,10.4,78.2,23,11.8
269,9.9,71.7,26,10.42
270,9.6,76.4,24,11.48
271,9.9,78.6,23,11.22
272,10.4,82.3,24,13.05
273,10.8,80.1,23,10.64
274,10.4,80.2,20,12.96
275,8.9,82.4,22,9.4
276,12.1,95.2,22,12.59
277,10.4,80.2,20,13.16
278,12.5,92.1,25,13.96
279,11.2,88,22,12.57
280,9.9,73.4,21,11.84
281,9.9,78.6,23,11.19
282,10.4,78.2,23,12.33
283,10.8,80.1,23,10.64
284,9.6,76.4,24,11.09
285,11.7,88.2,21,14.38
286,10.4,82.3,24,12.61
287,11.9,89.2,23,14.5
288,11.9,94.1,21,13.74
289,9.7,80.6,20,11.96
290,8.5,72.1,22,11.38
291,10.7,72.4,22,11.87
292,11.7,96.1,23,13.21
293,9.7,80.6,20,12.38
294,10.7,72.4,22,12
295,10,77.3,23,11.65
296,10.4,80.2,20,13.75
297,8.9,82.4,22,8.08
298,12.5,92.1,25,14.64
299,11.7,96.1,23,13.83
300,10.8,80.1,23,11
301,9.9,71.7,26,11.24
302,11.2,88,22,11.32
303,8.5,72.1,22,10.96
304,10.4,78.2,23,10.13
305,9.6,76.4,24,10.17
306,11.7,88.2,21,14.13
307,11.9,94.1,21,13.17
308,11.9,89.2,23,14.45
309,9.9,78.6,23,11.42
310,11.7,88.2,21,15.04
311,12.5,92.1,25,12.52
312,11.9,89.2,23,12.83
313,9.9,78.6,23,11.48
314,9.9,73.4,21,12.17
315,10.4,78.2,23,11.28
316,11.2,88,22,12.57
317,9.9,71.7,26,10.04
318,9.6,76.4,24,11.04
319,11.9,94.1,21,14.13
320,10.8,80.1,23,10.32
321,8.9,82.4,22,9.42
322,11.7,96.1,23,12.29
323,10.5,80,20,11.36
324,9.7,80.6,20,12.17
325,8.5,72.1,22,10.48
326,10,77.3,23,10.2
327,10.3,74.4,23,12.17
328,12.5,92.1,25,13.19
329,11.9,89.2,23,12.38
330,11.2,88,22,11.64
331,10.4,78.2,23,12.88
332,9.9,73.4,21,11.65
333,11.7,88.2,21,13.27
334,10.5,80,20,12.43
335,8.5,72.1,22,10.73
336,10.3,74.4,23,11.46
